???????	????	????	??
"140 (2010)"	"Neurophysiological and Computational Principles of Cortical Rhythms in Cognition"	"Physiological Reviews"	"X.-J. Wang"
"141 (2012)"	"Mechanisms of gamma oscillations"	"Annu Rev Neurosci"	"G. Buzsaki and X. J. Wang"
"142 (1995)"	"Storage of 7 ? 2 Short-Term Memories in Oscillatory Subcycles"	"Science"	"J. E. Lisman and M. A. P. Idiart"
"143 (2022)"	"Cognitive control, interference inhibition, and ordering of information during working memory in younger and older healthy adults"	"GeroScience"	"M. Mirjalili et al."
"144 (2022)"	"Assessing the Longitudinal Relationship between Theta-Gamma Coupling and Working Memory Performance in Older Adults"	"Cerebral cortex (New York, N.Y. : 1991)"	"H. Brooks et al."
"145 (2019)"	"Working memory revived in older adults by synchronizing rhythmic brain circuits"	"Nature Neuroscience"	"R. M. G. Reinhart and J. A. Nguyen"
"146 (2023)"	"Neurophysiological and other features of working memory in older adults at risk for dementia"	"Cogn Neurodyn"	"R. A. Patterson et al."
"147 (2024)"	"Cognitive function based on theta-gamma coupling vs. clinical diagnosis in older adults with mild cognitive impairment with or without major depressive disorder"	"Translational Psychiatry"	"H. Brooks et al."
"148 (2018)"	"Quantitative EEG power and synchronization correlate with Alzheimer's disease CSF biomarkers"	"Neurobiology of aging"	"U. Smailovic, T. Koenig, I. K?reholt, T. Andersson, M. G. Kramberger, B. Winblad, and V. Jelic"
"149 (2014)"	"Transcranial direct current stimulation and power spectral parameters: a tDCS/EEG co-registration study"	"Frontiers in human neuroscience"	"A. L. Mangia, M. Pirini, and A. Cappello"
"150 (2021)"	"Repetitive transcranial magnetic stimulation of the dorsolateral prefrontal cortex modulates electroencephalographic functional connectivity in Alzheimer?s Disease"	"Frontiers in Aging Neuroscience"	"Y. Guo et al."
"151 (2023)"	"A dataset of scalp EEG recordings of Alzheimer?s disease, frontotemporal dementia and healthy subjects from routine EEG"	"Data"	"A. Miltiadous et al."
"152 (2016)"	"Dispersion entropy: A measure for time-series analysis"	"IEEE Signal Processing Letters"	"M. Rostaghi and H. Azami"
"153 (2022)"	"EEG Signal Processing and Supervised Machine Learning to Early Diagnose Alzheimer?s Disease"	"Applied Sciences"	"D. Pirrone, E. Weitschek, P. Di Paolo, S. De Salvo, and M. C. De Cola"
"154 (2021)"	"Identifying Individuals With Mild Cognitive Impairment Using Working Memory-Induced Intra-Subject Variability of Resting-State EEGs"	"Front Comput Neurosci"	"T. T. Trinh, C. F. Tsai, Y. T. Hsiao, C. Y. Lee, C. T. Wu, and Y. H. Liu"
"155 (2018)"	"Abnormalities of Resting State Cortical EEG Rhythms in Subjects with Mild Cognitive Impairment Due to Alzheimer's and Lewy Body Diseases"	"J Alzheimers Dis"	"C. Babiloni et al."
"156 (2023)"	"Beta to theta power ratio in EEG periodic components as a potential biomarker in mild cognitive impairment and Alzheimer's dementia"	"Alzheimers Res Ther"	"H. Azami et al."
"157 (2020)"	"A comparison of resting state EEG and structural MRI for classifying Alzheimer's disease and mild cognitive impairment"	"Neuroimage"	"F. R. Farina, D. D. Emek-Savas, L. Rueda-Delgado, R. Boyle, H. Kiiski, G. Yener, and R. Whelan"
"158 (2023)"	"Dementia detection from brain activity during sleep"	"Sleep"	"E. M. Ye et al."
"159 (2021)"	"The diagnosis of amnestic mild cognitive impairment by combining the characteristics of brain functional network and support vector machine classifier"	"J Neurosci Methods"	"X. Li, C. Yang, P. Xie, Y. Han, R. Su, Z. Li, and Y. Liu"
"160 (2023)"	"EEG Entropy in REM Sleep as a Physiologic Biomarker in Early Clinical Stages of Alzheimer's Disease"	"J Alzheimers Dis"	"H. Azami, S. Moguilner, H. Penagos, R. A. Sarkis, S. E. Arnold, S. N. Gomperts, and A. D. Lam"
"161 (2022)"	"Fully automated discrimination of Alzheimer's disease using resting-state electroencephalography signals"	"Quant Imaging Med Surg"	"Y. Ding, Y. Chu, M. Liu, Z. Ling, S. Wang, X. Li, and Y. Li"
"162 (2022)"	"Identifying Amnestic Mild Cognitive Impairment With Convolutional Neural Network Adapted to the Spectral Entropy Heat Map of the Electroencephalogram"	"Front Hum Neurosci"	"X. Li et al."
"163 (2023)"	"Neurophysiological markers in community-dwelling older adults with mild cognitive impairment: an EEG study"	"Alzheimers Res Ther"	"O. Katayama et al."
"164 (2019)"	"A Novel Detection Tool for Mild Cognitive Impairment Patients Based on Eye Movement and Electroencephalogram"	"J Alzheimers Dis"	"J. Jiang et al."
"165 (2022)"	"Sleep EEG-Based Approach to Detect Mild Cognitive Impairment"	"Front Aging Neurosci"	"D. Geng, C. Wang, Z. Fu, Y. Zhang, K. Yang, and H. An"
"166 (2017)"	"Spatio-Temporal Fluctuations of Neural Dynamics in Mild Cognitive Impairment and Alzheimer's Disease"	"Curr Alzheimer Res"	"J. Poza, C. Gomez, M. Garcia, M. A. Tola-Arribas, A. Carreres, M. Cano, and R. Hornero"
"167 (2023)"	"An Approach toward Artificial Intelligence Alzheimer's Disease Diagnosis Using Brain Signals"	"Diagnostics (Basel)"	"S. A. Sadegh-Zadeh, E. Fakhri, M. Bahrami, E. Bagheri, R. Khamsehashari, M. Noroozian, and A. M. Hajiyavand"
"168 (2023)"	"Classification of mild cognitive impairment based on handwriting dynamics and qEEG"	"Comput Biol Med"	"J. Chai et al."
"169 (2023)"	"Classification of Mild Cognitive Impairment with Deep Transfer Learning Approach using CWT based Scalogram Images"	"International Journal on Recent and Innovation Trends in Computing and Communication"	"P. Saroja, N. J. Nalini, and G. Mahesh"
"170 (2018)"	"Combining EEG signal processing with supervised methods for Alzheimer's patients classification"	"BMC Med Inform Decis Mak"	"G. Fiscon et al."
"171 (2021)"	"Functional Brain Networks in Mild Cognitive Impairment Based on Resting Electroencephalography Signals"	"Front Comput Neurosci"	"N. Youssef et al."
"172 (2023)"	"A holo-spectral EEG analysis provides an early detection of cognitive decline and predicts the progression to Alzheimer's disease"	"Front Aging Neurosci"	"K. T. Chu et al."
"173 (2023)"	"Identification of Alzheimer???s Disease Using Novel Dual Decomposition Technique and Machine Learning Algorithms from EEG Signals"	"International Journal on Advanced Science, Engineering and Information Technology"	"D. Puri, S. Nalbalwar, A. Nandgaonkar, J. Rajput, and A. Wagh"
"174 (2024)"	"Mild cognitive impairment detection with optimally selected EEG channels based on variational mode decomposition and supervised machine learning"	"Biomedical Signal Processing and Control"	"M. Aljalal, M. Molinas, S. A. Aldosari, K. AlSharabi, A. M. Abdurraqeeb, and F. A. Alturki"
"175 (2023)"	"Neural biomarker diagnosis and prediction to mild cognitive impairment and Alzheimer's disease using EEG technology"	"Alzheimers Res Ther"	"B. Jiao et al."
"176 (2020)"	"A novel multi-modal machine learning based approach for automatic classification of EEG recordings in dementia"	"Neural Netw"	"C. Ieracitano, N. Mammone, A. Hussain, and F. C. Morabito"
"177 (2024)"	"Personalized modeling of Alzheimer's disease progression estimates neurodegeneration severity from EEG recordings"	"Alzheimers Dement (Amst)"	"L. G. Amato et al."
"178 (2023)"	"Screening for Mild Cognitive Impairment with Speech Interaction Based on Virtual Reality and Wearable Devices"	"Brain Sci"	"R. Wu, A. Li, C. Xue, J. Chai, Y. Qiang, J. Zhao, and L. Wang"
"179 (2023)"	"Synergy through integration of digital cognitive tests and wearable devices for mild cognitive impairment screening"	"Front Hum Neurosci"	"A. Li, J. Li, D. Zhang, W. Wu, J. Zhao, and Y. Qiang"
"180 (2023)"	"VRNPT: A Neuropsychological Test Tool for Diagnosing Mild Cognitive Impairment Using Virtual Reality and EEG Signals"	"International Journal of Human?Computer Interaction"	"C. Xue, A. Li, R. Wu, J. Chai, Y. Qiang, J. Zhao, and Q. Yang"
"181 (2020)"	"A New Framework for Automatic Detection of Patients With Mild Cognitive Impairment Using Resting-State EEG Signals"	"IEEE Trans Neural Syst Rehabil Eng"	"S. Siuly, O. F. Alcin, E. Kabir, A. Sengur, H. Wang, Y. Zhang, and F. Whittaker"
"182 (2024)"	"STCGRU: A hybrid model based on CNN and BiGRU for mild cognitive impairment diagnosis"	"Comput Methods Programs Biomed"	"H. Zhou, L. Yin, R. Su, Y. Zhang, Y. Yuan, P. Xie, and X. Li"
"183 (2020)"	"The advantages of the Matthews correlation coefficient (MCC) over F1 score and accuracy in binary classification evaluation"	"BMC Genomics"	"D. Chicco and G. Jurman"
"184 (2021)"	"The Matthews Correlation Coefficient (MCC) is More Informative Than Cohen?s Kappa and Brier Score in Binary Classification Assessment"	"IEEE Access"	"D. Chicco, M. J. Warrens, and G. Jurman"
"185 (2024)"	"Spectral analysis and Bi-LSTM deep network-based approach in detection of mild cognitive impairment from electroencephalography signals"	"Cogn Neurodyn"	"A. Said and H. Goker"
"186 (2024)"	"A Multi-Modal Classification Method for Early Diagnosis of Mild Cognitive Impairment and Alzheimer's Disease Using Three Paradigms With Various Task Difficulties"	"IEEE Trans Neural Syst Rehabil Eng"	"S. Chen, C. Zhang, H. Yang, L. Peng, H. Xie, Z. Lv, and Z. G. Hou"
"187 (2022)"	"A deep learning based framework for diagnosis of mild cognitive impairment"	"Knowledge-Based Systems"	"A. M. Alvi, S. Siuly, H. Wang, K. Wang, and F. Whittaker"
"188 (2022)"	"EMCI: A Novel EEG-Based Mental Workload Assessment Index of Mild Cognitive Impairment"	"IEEE Trans Biomed Circuits Syst"	"H. Zeng et al."
"189 (2024)"	"Exploring Frequency Band-Based Biomarkers of EEG Signals for Mild Cognitive Impairment Detection"	"IEEE Trans Neural Syst Rehabil Eng"	"M. N. A. Tawhid, S. Siuly, E. Kabir, and Y. Li"
"190 (2023)"	"A mild cognitive impairment diagnostic model based on IAAFT and BiLSTM"	"Biomedical Signal Processing and Control"	"X. Li et al."
"191 (2024)"	"Novel methodology for detection and prediction of mild cognitive impairment using resting-state EEG"	"Alzheimers Dement"	"J. Deng, B. Sun, V. Kavcic, M. Liu, B. Giordani, and T. Li"
"192 (2018)"	"EEG Theta Power Is an Early Marker of Cognitive Decline in Dementia due to Alzheimer's Disease"	"J Alzheimers Dis"	"C. S. Musaeus et al."
"193 (2021)"	"EEG-Based Classification Between Individuals with Mild Cognitive Impairment and Healthy Controls Using Conformal Kernel-Based Fuzzy Support Vector Machine"	"International Journal of Fuzzy Systems"	"Y.-T. Hsiao, C.-T. Wu, C.-F. Tsai, Y.-H. Liu, T.-T. Trinh, and C.-Y. Lee"
"194 (2020)"	"Effective differentiation of mild cognitive impairment by functional brain graph analysis and computerized testing"	"PLoS One"	"R. Pozar, B. Giordani, and V. Kavcic"
"195 (2015)"	"A hybrid feature selection approach for the early diagnosis of Alzheimer's disease"	"J Neural Eng"	"E. Gallego-Jutgla, J. Sole-Casals, F. B. Vialatte, M. Elgendi, A. Cichocki, and J. Dauwels"
